,name,qid,measure,value
78,TerrierRetr(BM25),test-environment-opecewiahw-con03a,R@10,0.0
79,TerrierRetr(BM25),test-environment-opecewiahw-con03a,R@100,1.0
80,TerrierRetr(BM25),test-environment-opecewiahw-con03a,RR@10,0.0
75,TerrierRetr(BM25),test-environment-opecewiahw-con04a,R@10,0.0
76,TerrierRetr(BM25),test-environment-opecewiahw-con04a,R@100,0.0
77,TerrierRetr(BM25),test-environment-opecewiahw-con04a,RR@10,0.0
66,TerrierRetr(BM25),test-environment-opecewiahw-pro02a,R@10,1.0
67,TerrierRetr(BM25),test-environment-opecewiahw-pro02a,R@100,1.0
68,TerrierRetr(BM25),test-environment-opecewiahw-pro02a,RR@10,0.5
69,TerrierRetr(BM25),test-environment-opecewiahw-pro04a,R@10,0.0
70,TerrierRetr(BM25),test-environment-opecewiahw-pro04a,R@100,1.0
71,TerrierRetr(BM25),test-environment-opecewiahw-pro04a,RR@10,0.0
222,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro01a,R@10,0.0
223,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro01a,R@100,0.0
224,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro01a,RR@10,0.0
225,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con04a,R@10,1.0
226,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con04a,R@100,1.0
227,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con04a,RR@10,0.1
165,TerrierRetr(BM25),test-health-ahiahbgbsp-con01a,R@10,1.0
166,TerrierRetr(BM25),test-health-ahiahbgbsp-con01a,R@100,1.0
167,TerrierRetr(BM25),test-health-ahiahbgbsp-con01a,RR@10,0.5
156,TerrierRetr(BM25),test-health-ahiahbgbsp-con02a,R@10,1.0
157,TerrierRetr(BM25),test-health-ahiahbgbsp-con02a,R@100,1.0
158,TerrierRetr(BM25),test-health-ahiahbgbsp-con02a,RR@10,0.125
162,TerrierRetr(BM25),test-health-ahiahbgbsp-con03a,R@10,1.0
163,TerrierRetr(BM25),test-health-ahiahbgbsp-con03a,R@100,1.0
164,TerrierRetr(BM25),test-health-ahiahbgbsp-con03a,RR@10,0.25
159,TerrierRetr(BM25),test-health-ahiahbgbsp-con04a,R@10,1.0
160,TerrierRetr(BM25),test-health-ahiahbgbsp-con04a,R@100,1.0
161,TerrierRetr(BM25),test-health-ahiahbgbsp-con04a,RR@10,0.25
144,TerrierRetr(BM25),test-health-ahiahbgbsp-pro02a,R@10,0.0
145,TerrierRetr(BM25),test-health-ahiahbgbsp-pro02a,R@100,1.0
146,TerrierRetr(BM25),test-health-ahiahbgbsp-pro02a,RR@10,0.0
150,TerrierRetr(BM25),test-health-ahiahbgbsp-pro03a,R@10,1.0
151,TerrierRetr(BM25),test-health-ahiahbgbsp-pro03a,R@100,1.0
152,TerrierRetr(BM25),test-health-ahiahbgbsp-pro03a,RR@10,0.2
153,TerrierRetr(BM25),test-health-ahiahbgbsp-pro04a,R@10,1.0
154,TerrierRetr(BM25),test-health-ahiahbgbsp-pro04a,R@100,1.0
155,TerrierRetr(BM25),test-health-ahiahbgbsp-pro04a,RR@10,0.1
147,TerrierRetr(BM25),test-health-ahiahbgbsp-pro05a,R@10,0.0
148,TerrierRetr(BM25),test-health-ahiahbgbsp-pro05a,R@100,0.0
149,TerrierRetr(BM25),test-health-ahiahbgbsp-pro05a,RR@10,0.0
186,TerrierRetr(BM25),test-health-dhghhbampt-con01a,R@10,1.0
187,TerrierRetr(BM25),test-health-dhghhbampt-con01a,R@100,1.0
188,TerrierRetr(BM25),test-health-dhghhbampt-con01a,RR@10,0.14285714285714285
183,TerrierRetr(BM25),test-health-dhghhbampt-con03a,R@10,1.0
184,TerrierRetr(BM25),test-health-dhghhbampt-con03a,R@100,1.0
185,TerrierRetr(BM25),test-health-dhghhbampt-con03a,RR@10,0.3333333333333333
123,TerrierRetr(BM25),test-health-dhgsshbesbc-con03a,R@10,0.0
124,TerrierRetr(BM25),test-health-dhgsshbesbc-con03a,R@100,0.0
125,TerrierRetr(BM25),test-health-dhgsshbesbc-con03a,RR@10,0.0
114,TerrierRetr(BM25),test-health-dhgsshbesbc-pro02a,R@10,0.0
115,TerrierRetr(BM25),test-health-dhgsshbesbc-pro02a,R@100,1.0
116,TerrierRetr(BM25),test-health-dhgsshbesbc-pro02a,RR@10,0.0
