,name,qid,measure,value
97,TerrierRetr(BM25),test-health-dhpelhbass-con01a,R@100,1.0
98,TerrierRetr(BM25),test-health-dhpelhbass-con01a,RR@10,0.2
93,TerrierRetr(BM25),test-health-dhpelhbass-con03a,R@10,1.0
94,TerrierRetr(BM25),test-health-dhpelhbass-con03a,R@100,1.0
95,TerrierRetr(BM25),test-health-dhpelhbass-con03a,RR@10,0.5
90,TerrierRetr(BM25),test-health-dhpelhbass-con04a,R@10,1.0
91,TerrierRetr(BM25),test-health-dhpelhbass-con04a,R@100,1.0
92,TerrierRetr(BM25),test-health-dhpelhbass-con04a,RR@10,0.5
84,TerrierRetr(BM25),test-health-dhpelhbass-pro02a,R@10,0.0
85,TerrierRetr(BM25),test-health-dhpelhbass-pro02a,R@100,1.0
86,TerrierRetr(BM25),test-health-dhpelhbass-pro02a,RR@10,0.0
87,TerrierRetr(BM25),test-health-dhpelhbass-pro03a,R@10,1.0
88,TerrierRetr(BM25),test-health-dhpelhbass-pro03a,R@100,1.0
89,TerrierRetr(BM25),test-health-dhpelhbass-pro03a,RR@10,0.5
45,TerrierRetr(BM25),test-health-hdond-con01a,R@10,1.0
46,TerrierRetr(BM25),test-health-hdond-con01a,R@100,1.0
47,TerrierRetr(BM25),test-health-hdond-con01a,RR@10,0.3333333333333333
39,TerrierRetr(BM25),test-health-hdond-pro02a,R@10,1.0
40,TerrierRetr(BM25),test-health-hdond-pro02a,R@100,1.0
41,TerrierRetr(BM25),test-health-hdond-pro02a,RR@10,0.14285714285714285
42,TerrierRetr(BM25),test-health-hdond-pro03a,R@10,1.0
43,TerrierRetr(BM25),test-health-hdond-pro03a,R@100,1.0
44,TerrierRetr(BM25),test-health-hdond-pro03a,RR@10,0.16666666666666666
57,TerrierRetr(BM25),test-health-hgwhwbjfs-pro02a,R@10,0.0
58,TerrierRetr(BM25),test-health-hgwhwbjfs-pro02a,R@100,0.0
59,TerrierRetr(BM25),test-health-hgwhwbjfs-pro02a,RR@10,0.0
72,TerrierRetr(BM25),test-health-hpehwadvoee-con03a,R@10,0.0
73,TerrierRetr(BM25),test-health-hpehwadvoee-con03a,R@100,0.0
74,TerrierRetr(BM25),test-health-hpehwadvoee-con03a,RR@10,0.0
63,TerrierRetr(BM25),test-health-hpehwadvoee-pro01a,R@10,0.0
64,TerrierRetr(BM25),test-health-hpehwadvoee-pro01a,R@100,0.0
65,TerrierRetr(BM25),test-health-hpehwadvoee-pro01a,RR@10,0.0
66,TerrierRetr(BM25),test-health-hpehwadvoee-pro03a,R@10,1.0
67,TerrierRetr(BM25),test-health-hpehwadvoee-pro03a,R@100,1.0
68,TerrierRetr(BM25),test-health-hpehwadvoee-pro03a,RR@10,0.1111111111111111
69,TerrierRetr(BM25),test-health-hpehwadvoee-pro04a,R@10,0.0
70,TerrierRetr(BM25),test-health-hpehwadvoee-pro04a,R@100,0.0
71,TerrierRetr(BM25),test-health-hpehwadvoee-pro04a,RR@10,0.0
60,TerrierRetr(BM25),test-health-hpehwadvoee-pro05a,R@10,0.0
61,TerrierRetr(BM25),test-health-hpehwadvoee-pro05a,R@100,1.0
62,TerrierRetr(BM25),test-health-hpehwadvoee-pro05a,RR@10,0.0
492,TerrierRetr(BM25),test-international-aegmeppghw-con05a,R@10,1.0
493,TerrierRetr(BM25),test-international-aegmeppghw-con05a,R@100,1.0
494,TerrierRetr(BM25),test-international-aegmeppghw-con05a,RR@10,0.5
486,TerrierRetr(BM25),test-international-aegmeppghw-pro02a,R@10,1.0
487,TerrierRetr(BM25),test-international-aegmeppghw-pro02a,R@100,1.0
488,TerrierRetr(BM25),test-international-aegmeppghw-pro02a,RR@10,0.5
489,TerrierRetr(BM25),test-international-aegmeppghw-pro03a,R@10,1.0
490,TerrierRetr(BM25),test-international-aegmeppghw-pro03a,R@100,1.0
491,TerrierRetr(BM25),test-international-aegmeppghw-pro03a,RR@10,0.3333333333333333
360,TerrierRetr(BM25),test-international-aghbfcpspr-con03a,R@10,0.0
361,TerrierRetr(BM25),test-international-aghbfcpspr-con03a,R@100,1.0
362,TerrierRetr(BM25),test-international-aghbfcpspr-con03a,RR@10,0.0
357,TerrierRetr(BM25),test-international-aghbfcpspr-pro04a,R@10,0.0
358,TerrierRetr(BM25),test-international-aghbfcpspr-pro04a,R@100,1.0
359,TerrierRetr(BM25),test-international-aghbfcpspr-pro04a,RR@10,0.0
354,TerrierRetr(BM25),test-international-aghbfcpspr-pro05a,R@10,0.0
355,TerrierRetr(BM25),test-international-aghbfcpspr-pro05a,R@100,1.0
356,TerrierRetr(BM25),test-international-aghbfcpspr-pro05a,RR@10,0.0
417,TerrierRetr(BM25),test-international-aghwrem-con02a,R@10,1.0
418,TerrierRetr(BM25),test-international-aghwrem-con02a,R@100,1.0
419,TerrierRetr(BM25),test-international-aghwrem-con02a,RR@10,0.5
420,TerrierRetr(BM25),test-international-aghwrem-con03a,R@10,0.0
421,TerrierRetr(BM25),test-international-aghwrem-con03a,R@100,0.0
422,TerrierRetr(BM25),test-international-aghwrem-con03a,RR@10,0.0
408,TerrierRetr(BM25),test-international-aghwrem-pro02a,R@10,0.0
409,TerrierRetr(BM25),test-international-aghwrem-pro02a,R@100,1.0
410,TerrierRetr(BM25),test-international-aghwrem-pro02a,RR@10,0.0
411,TerrierRetr(BM25),test-international-aghwrem-pro03a,R@10,0.0
412,TerrierRetr(BM25),test-international-aghwrem-pro03a,R@100,1.0
413,TerrierRetr(BM25),test-international-aghwrem-pro03a,RR@10,0.0
414,TerrierRetr(BM25),test-international-aghwrem-pro04a,R@10,1.0
415,TerrierRetr(BM25),test-international-aghwrem-pro04a,R@100,1.0
416,TerrierRetr(BM25),test-international-aghwrem-pro04a,RR@10,0.25
474,TerrierRetr(BM25),test-international-aglhrilhb-con02a,R@10,0.0
475,TerrierRetr(BM25),test-international-aglhrilhb-con02a,R@100,1.0
476,TerrierRetr(BM25),test-international-aglhrilhb-con02a,RR@10,0.0
468,TerrierRetr(BM25),test-international-aglhrilhb-pro01a,R@10,0.0
469,TerrierRetr(BM25),test-international-aglhrilhb-pro01a,R@100,1.0
470,TerrierRetr(BM25),test-international-aglhrilhb-pro01a,RR@10,0.0
465,TerrierRetr(BM25),test-international-aglhrilhb-pro02a,R@10,0.0
466,TerrierRetr(BM25),test-international-aglhrilhb-pro02a,R@100,1.0
467,TerrierRetr(BM25),test-international-aglhrilhb-pro02a,RR@10,0.0
471,TerrierRetr(BM25),test-international-aglhrilhb-pro04a,R@10,0.0
472,TerrierRetr(BM25),test-international-aglhrilhb-pro04a,R@100,0.0
473,TerrierRetr(BM25),test-international-aglhrilhb-pro04a,RR@10,0.0
396,TerrierRetr(BM25),test-international-amehbuaisji-con01a,R@10,0.0
